building,latitude,longitude,campus
Alumni Hall,42.422116,-76.500056,Ithaca College
Athletics and Events Center,42.423114,-76.490325,Ithaca College
Bogart Hall,42.423565,-76.492846,Ithaca College
Boothroyd Hall,42.421166,-76.490893,Ithaca College
Butterfield Stadium,42.41846,-76.50005,Ithaca College
Campus Center,42.42235,-76.49429,Ithaca College
Center for Health Sciences,42.42003,-76.49802,Ithaca College
Center for Natural Sciences,42.423312,-76.495421,Ithaca College
Circles Apartments Area,42.411732,-76.500303,Ithaca College
Clarke Hall,42.423914,-76.492256,Ithaca College
Dillingham Center,42.42109,-76.49835,Ithaca College
East Tower,42.42064,-76.49397,Ithaca College
Eastman Hall,42.42313,-76.492352,Ithaca College
Emerson Hall,42.425799,-76.492127,Ithaca College
Fitness Center,42.422496,-76.492277,Ithaca College
Ford Observatory,42.41753,-76.49408,Ithaca College
Freeman Field,42.423953,-76.490893,Ithaca College
Friends Hall,42.421736,-76.496741,Ithaca College
Gannett Center,42.42124,-76.49504,Ithaca College
Garden Apartments,42.425617,-76.490561,Ithaca College
Hammond Health Center,42.422987,-76.493769,Ithaca College
Hill Center,42.42052,-76.497,Ithaca College
Hilliard Hall,42.421878,-76.492513,Ithaca College
Holmes Hall,42.421189,-76.49379,Ithaca College
Hood Hall,42.421728,-76.493297,Ithaca College
Job Hall,42.421506,-76.497256,Ithaca College
Landon Hall,42.423502,-76.493747,Ithaca College
Lyon Hall,42.423534,-76.491795,Ithaca College
Muller Chapel,42.422623,-76.49673,Ithaca College
Muller Faculty Center,42.421966,-76.495657,Ithaca College
Park Center for Business and Sustainable Enterprise,42.422084,-76.496987,Ithaca College
Park Hall,42.42408,-76.494927,Ithaca College
Peggy Ryan Williams Center,42.421673,-76.498725,Ithaca College
Public Safety and General Services,42.427026,-76.495528,Ithaca College
Rothschild Place,42.424286,-76.493983,Ithaca College
Rowland Hall,42.421348,-76.492245,Ithaca College
Smiddy Hall,42.42033,-76.49849,Ithaca College
Talcott Hall,42.421237,-76.492943,Ithaca College
Terrace 1,42.42007,-76.49603,Ithaca College
Terrace 10,42.41875,-76.49639,Ithaca College
Terrace 11,42.41839,-76.4968,Ithaca College
Terrace 12,42.418,-76.4971,Ithaca College
Terrace 13,42.41747,-76.49803,Ithaca College
Terrace 2,42.41985,-76.4965,Ithaca College
Terrace 3,42.41949,-76.49586,Ithaca College
Terrace 4,42.41939,-76.49644,Ithaca College
Terrace 5,42.41936,-76.49687,Ithaca College
Terrace 6,42.41897,-76.49722,Ithaca College
Terrace 7,42.41859,-76.49729,Ithaca College
Terrace 8,42.41879,-76.49679,Ithaca College
Terrace 9,42.41911,-76.49641,Ithaca College
Terrace Dining Hall,42.42005,-76.49622,Ithaca College
Textor Hall,42.421783,-76.496204,Ithaca College
Towers Dining Hall,42.42059,-76.49452,Ithaca College
West Tower,42.4205,-76.4951,Ithaca College
Whalen Center for Music,42.42106,-76.49595,Ithaca College
Wheeler Tennis Courts,42.423637,-76.488039,Ithaca College
Williams Hall,42.42268,-76.4952,Ithaca College